                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96353,                0.60707,                 1.0249,                 0.9669,                 0.9375,                0.98733,                0.72138,                 1.0008,                0.57932,                 1.0654,                0.00012,                0.00012,                0.00012
                      2,                0.88854,                0.57934,                0.98955,                0.93428,                0.96875,                0.98803,                 0.7282,                 1.0378,                 0.5733,                 1.0735,             0.00025485,             0.00025485,             0.00025485
                      3,                0.97519,                0.62167,                 1.0716,                0.96862,                0.96465,                0.98933,                0.72989,                 1.0516,                0.56376,                 1.1096,             0.00038416,             0.00038416,             0.00038416
                      4,                0.86056,                0.53724,                0.96497,                0.99823,                 0.9375,                0.98718,                0.67448,                 1.1757,                0.60661,                 1.1948,             0.00050792,             0.00050792,             0.00050792
                      5,                0.88932,                0.55798,                 1.0129,                0.99778,                0.96875,                0.99243,                0.68746,                 1.0749,                0.54445,                  1.091,             0.00062614,             0.00062614,             0.00062614
                      6,                0.81479,                0.51365,                0.95356,                      1,                0.99785,                  0.995,                0.70973,                 1.0765,                 0.5094,                 1.0966,             0.00073882,             0.00073882,             0.00073882
                      7,                0.94035,                0.55864,                0.99376,                0.99755,                0.96875,                0.99243,                0.69198,                 1.1688,                 0.5997,                 1.1636,             0.00084595,             0.00084595,             0.00084595
                      8,                 0.8847,                0.55482,                0.98307,                      1,                0.96636,                0.96576,                0.68046,                 1.2147,                0.62792,                 1.1954,             0.00094754,             0.00094754,             0.00094754
                      9,                0.93161,                0.56022,                 1.0197,                      1,                0.93712,                0.94637,                0.64645,                  1.239,                0.61836,                 1.2134,              0.0010436,              0.0010436,              0.0010436
                     10,                0.98977,                0.60494,                 1.0469,                      1,                 0.9357,                0.95912,                0.65397,                 1.1995,                0.60805,                 1.1989,              0.0011341,              0.0011341,              0.0011341
                     11,                0.94822,                0.55675,                  1.013,                      1,                0.93323,                0.95355,                0.64603,                 1.2703,                 0.6556,                  1.243,               0.001219,               0.001219,               0.001219
                     12,                0.93311,                0.56498,                0.97035,                0.99317,                0.96875,                0.99167,                0.70869,                  1.118,                0.53303,                 1.1321,              0.0012985,              0.0012985,              0.0012985
                     13,                 1.0104,                 0.5827,                  1.029,                0.99543,                0.96875,                0.99324,                0.68974,                 1.1203,                0.52434,                 1.1287,              0.0013723,              0.0013723,              0.0013723
                     14,                0.89933,                 0.5529,                0.98294,                0.99686,                      1,                  0.995,                0.69133,                 1.1406,                0.55805,                 1.1543,              0.0014406,              0.0014406,              0.0014406
                     15,                0.88143,                0.57061,                0.96293,                0.99935,                0.96875,                0.99243,                0.71799,                 1.1501,                0.57544,                  1.203,              0.0014456,              0.0014456,              0.0014456
                     16,                0.87879,                0.52815,                0.97465,                  0.997,                 0.9375,                0.98339,                0.68558,                  1.116,                0.59881,                 1.1282,              0.0014456,              0.0014456,              0.0014456
                     17,                0.94774,                0.56017,                 1.0118,                 0.9975,                 0.9375,                0.98833,                 0.6868,                 1.1001,                0.55841,                  1.132,               0.001406,               0.001406,               0.001406
                     18,                0.86884,                 0.5434,                0.98896,                0.99733,                 0.9375,                0.99149,                0.70091,                 1.0479,                0.52174,                 1.1075,              0.0013664,              0.0013664,              0.0013664
                     19,                0.94255,                0.56665,                 1.0048,                0.99313,                0.96875,                0.98962,                0.67968,                 1.1313,                0.58457,                 1.1335,              0.0013268,              0.0013268,              0.0013268
                     20,                0.90147,                0.56589,                0.98807,                0.99739,                0.90625,                 0.9828,                0.67494,                 1.0746,                0.59893,                 1.0965,              0.0012872,              0.0012872,              0.0012872
                     21,                 0.9287,                0.53963,                 1.0141,                0.99756,                0.90625,                0.96041,                0.67585,                  1.064,                0.64969,                    1.1,              0.0012476,              0.0012476,              0.0012476
                     22,                0.86025,                0.54128,                0.96614,                0.99916,                 0.9375,                0.97361,                0.66268,                 1.1491,                0.64817,                 1.1536,               0.001208,               0.001208,               0.001208
                     23,                0.92609,                0.54757,                  1.008,                0.99733,                 0.9375,                0.96695,                0.67591,                 1.1208,                0.57408,                 1.1252,              0.0011684,              0.0011684,              0.0011684
